1 13 7
ZDG06 BHZ 0.382 0.53 -0.003 0.75
5 1661 7
ZDG14 HHZ 0.128 0.68 0.000 0.55
ZDG16 HHZ -0.091 0.84 -0.202 0.62
ZDG13 HHZ 0.081 0.81 0.160 0.48
ZDG09 BHZ 0.176 0.73 0.761 0.56
ZDG08 BHZ 0.187 0.81 0.245 0.70
ZDG06 BHZ 0.163 0.45 0.250 0.90
ZDG04 BHZ 0.231 0.85 0.680 0.40
5 896 10
ZDG14 HHZ 0.092 0.65 0.175 0.47
ZDG16 HHZ -0.115 0.86 0.693 0.52
ZDG13 HHZ 0.052 0.78 0.117 0.54
ZDG09 BHZ 0.137 0.53 0.709 0.54
ZDG08 BHZ 0.109 0.81 0.209 0.70
ZDG06 BHZ 0.111 0.75 0.199 0.92
ZDG05 BHZ -0.689 0.50 0.230 0.51
ZDG04 BHZ 0.135 0.71 0.243 0.44
ZDG03 HHZ 0.128 0.76 0.234 0.34
ZDG02 HHZ -0.401 0.33 0.247 0.70
5 334 10
ZDG14 HHZ 0.097 0.69 0.181 0.56
ZDG16 HHZ -0.181 0.84 -0.319 0.66
ZDG13 HHZ 0.053 0.74 0.149 0.65
ZDG10 BHZ 0.233 0.47 0.316 0.80
ZDG09 BHZ -0.526 0.84 0.771 0.53
ZDG08 BHZ 0.215 0.78 0.298 0.77
ZDG07 BHZ -0.432 0.92 0.801 0.26
ZDG06 BHZ 0.306 0.51 0.290 0.91
ZDG05 BHZ -0.473 0.66 0.311 0.49
ZDG02 HHZ 0.675 0.38 0.495 0.78
5 457 7
ZDG14 HHZ 0.130 0.65 0.008 0.41
ZDG13 HHZ 0.103 0.82 0.149 0.49
ZDG16 HHZ -0.043 0.84 0.777 0.43
ZDG10 BHZ 0.150 0.62 0.255 0.67
ZDG09 BHZ 0.033 0.83 -0.051 0.41
ZDG08 BHZ 0.421 0.62 0.232 0.71
ZDG07 BHZ 0.643 0.74 0.738 0.47
5 910 8
ZDG14 HHZ 0.257 0.67 0.173 0.19
ZDG16 HHZ -0.095 0.81 -0.257 0.74
ZDG13 HHZ 0.191 0.55 0.294 0.64
ZDG09 BHZ 0.171 0.84 0.300 0.54
ZDG08 BHZ 0.530 0.54 0.456 0.66
ZDG07 BHZ 0.619 0.83 0.718 0.46
ZDG06 BHZ 0.645 0.23 0.467 0.67
ZDG02 HHZ -0.213 0.40 0.204 0.75
5 713 8
ZDG14 HHZ 0.134 0.67 0.174 0.55
ZDG16 HHZ 0.046 0.46 0.015 0.78
ZDG13 HHZ 0.118 0.76 0.145 0.63
ZDG10 BHZ 0.227 0.53 0.224 0.88
ZDG09 BHZ 0.533 0.81 -0.730 0.50
ZDG08 BHZ 0.210 0.72 0.200 0.69
ZDG07 BHZ -0.729 0.77 0.021 0.46
ZDG06 BHZ -0.688 0.26 0.192 0.90
5 1732 6
ZDG13 HHZ 0.175 0.80 0.269 0.46
ZDG08 BHZ 0.239 0.79 0.357 0.71
ZDG07 BHZ -0.642 0.75 -0.082 0.41
ZDG06 BHZ -0.757 0.34 0.346 0.87
